Year,Total Expenditure,"Critical Illness rate (per 10,000 population)",Life Expectancy,Province_Alberta,Province_British Columbia,Province_Manitoba,Province_New Brunswick,Province_Newfoundland and Labrador,Province_Northwest Territories,Province_Nova Scotia,Province_Nunavut,Province_Ontario,Province_Prince Edward Island,Province_Quebec,Province_Saskatchewan,Province_Yukon
2015,17394622,327.7,77.65,0,0,0,0,0,1,0,0,0,0,0,0,0
2016,13737807,392.2,77.21,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,13650071,414.3,77.11,0,0,0,0,0,1,0,0,0,0,0,0,0
2018,14809627,381.7,76.93,0,0,0,0,0,1,0,0,0,0,0,0,0
2019,16166132,438.8,77.37,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,16812259,337.0,77.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021,19447801,370.1,77.34,0,0,0,0,0,1,0,0,0,0,0,0,0
2022,21985061,360.7,77.5,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,22798056,365.8,77.67,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,15457606,273.7,75.58,0,0,0,0,0,1,0,0,0,0,0,0,0
2004,15437747,285.8,75.96,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,13712552,276.5,76.88,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,14879530,231.6,77.8,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,18056086,311.1,77.32,0,0,0,0,0,1,0,0,0,0,0,0,0
2008,18880210,242.0,76.44,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,20495202,289.5,76.61,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,23371799,300.3,76.77,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,24379310,310.4,77.59,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,25069680,332.4,77.91,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,23908218,308.4,77.82,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,26373277,376.3,77.65,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,30461457,327.7,77.65,0,0,0,0,0,1,0,0,0,0,0,0,0
2016,28381979,392.2,77.21,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,29627567,414.3,77.11,0,0,0,0,0,1,0,0,0,0,0,0,0
2018,30771268,381.7,76.93,0,0,0,0,0,1,0,0,0,0,0,0,0
2019,33345248,438.8,77.37,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,31886154,337.0,77.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021,35675678,370.1,77.34,0,0,0,0,0,1,0,0,0,0,0,0,0
2022,37298961,360.7,77.5,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,37578105,365.8,77.67,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,30242128,273.7,75.58,0,0,0,0,0,1,0,0,0,0,0,0,0
2004,30507169,285.8,75.96,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,30413941,276.5,76.88,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,30893526,231.6,77.8,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,33839473,311.1,77.32,0,0,0,0,0,1,0,0,0,0,0,0,0
2008,36854377,242.0,76.44,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,50146090,289.5,76.61,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,88778767,300.3,76.77,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,99449924,310.4,77.59,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,86595078,332.4,77.91,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,87124011,308.4,77.82,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,98644925,376.3,77.65,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,105205270,327.7,77.65,0,0,0,0,0,1,0,0,0,0,0,0,0
2016,112047550,392.2,77.21,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,114671234,414.3,77.11,0,0,0,0,0,1,0,0,0,0,0,0,0
2018,120139466,381.7,76.93,0,0,0,0,0,1,0,0,0,0,0,0,0
2019,129961976,438.8,77.37,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,101202058,337.0,77.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021,90961053,370.1,77.34,0,0,0,0,0,1,0,0,0,0,0,0,0
2022,143113380,360.7,77.5,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,158845059,365.8,77.67,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,25364641,273.7,75.58,0,0,0,0,0,1,0,0,0,0,0,0,0
2004,26181284,285.8,75.96,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,29954474,276.5,76.88,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,33042397,231.6,77.8,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,36285888,311.1,77.32,0,0,0,0,0,1,0,0,0,0,0,0,0
2008,32544119,242.0,76.44,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,24737101,289.5,76.61,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,38045067,300.3,76.77,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,44035292,310.4,77.59,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,43118945,332.4,77.91,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,47483945,308.4,77.82,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,52495863,376.3,77.65,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,55068239,327.7,77.65,0,0,0,0,0,1,0,0,0,0,0,0,0
2016,59426050,392.2,77.21,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,56140329,414.3,77.11,0,0,0,0,0,1,0,0,0,0,0,0,0
2018,47000871,381.7,76.93,0,0,0,0,0,1,0,0,0,0,0,0,0
2019,49581833,438.8,77.37,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,65597992,337.0,77.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021,79202723,370.1,77.34,0,0,0,0,0,1,0,0,0,0,0,0,0
2022,86186148,360.7,77.5,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,83784194,365.8,77.67,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,53823030,273.7,75.58,0,0,0,0,0,1,0,0,0,0,0,0,0
2004,57637323,285.8,75.96,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,59448854,276.5,76.88,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,62078201,231.6,77.8,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,64269330,311.1,77.32,0,0,0,0,0,1,0,0,0,0,0,0,0
2008,74360834,242.0,76.44,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,78700522,289.5,76.61,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,81169891,300.3,76.77,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,90864100,310.4,77.59,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,100083576,332.4,77.91,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,99296592,308.4,77.82,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,101659140,376.3,77.65,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,108085431,327.7,77.65,0,0,0,0,0,1,0,0,0,0,0,0,0
2016,117998025,392.2,77.21,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,130457720,414.3,77.11,0,0,0,0,0,1,0,0,0,0,0,0,0
2018,135523469,381.7,76.93,0,0,0,0,0,1,0,0,0,0,0,0,0
2019,140099714,438.8,77.37,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,146585522,337.0,77.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021,142161701,370.1,77.34,0,0,0,0,0,1,0,0,0,0,0,0,0
2022,165789430,360.7,77.5,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,175514672,365.8,77.67,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,0,273.7,75.58,0,0,0,0,0,1,0,0,0,0,0,0,0
2004,0,285.8,75.96,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,0,276.5,76.88,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,0,231.6,77.8,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,0,311.1,77.32,0,0,0,0,0,1,0,0,0,0,0,0,0
2008,0,242.0,76.44,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,0,289.5,76.61,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,0,300.3,76.77,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,0,310.4,77.59,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,0,332.4,77.91,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,0,308.4,77.82,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,0,376.3,77.65,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,0,327.7,77.65,0,0,0,0,0,1,0,0,0,0,0,0,0
2016,0,392.2,77.21,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,0,414.3,77.11,0,0,0,0,0,1,0,0,0,0,0,0,0
2018,0,381.7,76.93,0,0,0,0,0,1,0,0,0,0,0,0,0
2019,0,438.8,77.37,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,112395727,337.0,77.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021,144052004,370.1,77.34,0,0,0,0,0,1,0,0,0,0,0,0,0
2022,35600151,360.7,77.5,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,0,365.8,77.67,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,424804671,273.7,75.58,0,0,0,0,0,1,0,0,0,0,0,0,0
2004,465052857,285.8,75.96,0,0,0,0,0,1,0,0,0,0,0,0,0
2005,485714936,276.5,76.88,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,513007417,231.6,77.8,0,0,0,0,0,1,0,0,0,0,0,0,0
2007,572598338,311.1,77.32,0,0,0,0,0,1,0,0,0,0,0,0,0
2008,616223356,242.0,76.44,0,0,0,0,0,1,0,0,0,0,0,0,0
2009,663848521,289.5,76.61,0,0,0,0,0,1,0,0,0,0,0,0,0
2010,717786565,300.3,76.77,0,0,0,0,0,1,0,0,0,0,0,0,0
2011,784070911,310.4,77.59,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,816016114,332.4,77.91,0,0,0,0,0,1,0,0,0,0,0,0,0
2013,909108486,308.4,77.82,0,0,0,0,0,1,0,0,0,0,0,0,0
2014,971766194,376.3,77.65,0,0,0,0,0,1,0,0,0,0,0,0,0
2015,1034190195,327.7,77.65,0,0,0,0,0,1,0,0,0,0,0,0,0
2016,1143189667,392.2,77.21,0,0,0,0,0,1,0,0,0,0,0,0,0
2017,1105306444,414.3,77.11,0,0,0,0,0,1,0,0,0,0,0,0,0
2018,1170822134,381.7,76.93,0,0,0,0,0,1,0,0,0,0,0,0,0
2019,1207225707,438.8,77.37,0,0,0,0,0,1,0,0,0,0,0,0,0
2020,1323487013,337.0,77.0,0,0,0,0,0,1,0,0,0,0,0,0,0
2021,1418069310,370.1,77.34,0,0,0,0,0,1,0,0,0,0,0,0,0
2022,1471249532,360.7,77.5,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,1492811157,365.8,77.67,0,0,0,0,0,1,0,0,0,0,0,0,0
2003,186656393,254.9,70.09,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,205654702,260.7,70.14,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,226717535,247.3,70.99,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,255884249,210.9,71.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,260302482,175.2,71.7,0,0,0,0,0,0,0,1,0,0,0,0,0
2008,254961827,172.4,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,279320988,168.7,71.08,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,286024407,179.9,71.53,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,298829479,175.5,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,319523951,158.7,71.65,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,332795194,184.0,70.21,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,343116741,180.7,70.73,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,361074445,191.8,71.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,386997096,175.8,71.66,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,421641235,225.7,71.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2018,456167521,195.7,71.13,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,500059479,167.4,70.63,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,503560145,177.3,70.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,533138840,174.6,70.45,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,605677481,160.3,71.14,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,649866874,155.7,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2003,49290751,254.9,70.09,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,52539201,260.7,70.14,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,57562754,247.3,70.99,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,62295940,210.9,71.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,60713979,175.2,71.7,0,0,0,0,0,0,0,1,0,0,0,0,0
2008,42552896,172.4,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,38654379,168.7,71.08,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,41164118,179.9,71.53,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,42535361,175.5,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,45260755,158.7,71.65,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,48068861,184.0,70.21,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,50410149,180.7,70.73,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,55553588,191.8,71.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,56650383,175.8,71.66,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,57637836,225.7,71.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2018,57520084,195.7,71.13,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,60140565,167.4,70.63,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,67377284,177.3,70.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,75680489,174.6,70.45,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,85635306,160.3,71.14,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,91277408,155.7,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2003,10608359,254.9,70.09,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,13550500,260.7,70.14,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,13682346,247.3,70.99,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,12728385,210.9,71.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,15246872,175.2,71.7,0,0,0,0,0,0,0,1,0,0,0,0,0
2008,16932402,172.4,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,16419953,168.7,71.08,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,14784427,179.9,71.53,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,13262547,175.5,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,13427226,158.7,71.65,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,14057794,184.0,70.21,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,13577644,180.7,70.73,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,13775773,191.8,71.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,11442809,175.8,71.66,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,10823660,225.7,71.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2018,11594066,195.7,71.13,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,12164131,167.4,70.63,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,12573345,177.3,70.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,15168276,174.6,70.45,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,19133139,160.3,71.14,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,21972788,155.7,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2003,8388751,254.9,70.09,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,9623336,260.7,70.14,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,12653563,247.3,70.99,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,14597577,210.9,71.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,13625193,175.2,71.7,0,0,0,0,0,0,0,1,0,0,0,0,0
2008,13199562,172.4,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,13168835,168.7,71.08,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,13455388,179.9,71.53,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,17005966,175.5,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,18431362,158.7,71.65,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,18941970,184.0,70.21,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,18799643,180.7,70.73,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,21321614,191.8,71.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,20540736,175.8,71.66,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,20984506,225.7,71.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2018,21826748,195.7,71.13,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,23593001,167.4,70.63,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,23515286,177.3,70.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,25703721,174.6,70.45,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,28750761,160.3,71.14,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,30128388,155.7,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2003,27893180,254.9,70.09,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,29244535,260.7,70.14,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,35723536,247.3,70.99,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,38292767,210.9,71.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,39760524,175.2,71.7,0,0,0,0,0,0,0,1,0,0,0,0,0
2008,53089666,172.4,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,68947639,168.7,71.08,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,80531019,179.9,71.53,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,85654514,175.5,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,87465254,158.7,71.65,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,91330236,184.0,70.21,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,100741771,180.7,70.73,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,109106635,191.8,71.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,115741319,175.8,71.66,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,127825835,225.7,71.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2018,136662535,195.7,71.13,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,144312880,167.4,70.63,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,175468019,177.3,70.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,176254780,174.6,70.45,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,198288756,160.3,71.14,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,256834394,155.7,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2003,35338100,254.9,70.09,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,34241325,260.7,70.14,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,44592314,247.3,70.99,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,42716355,210.9,71.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,41342430,175.2,71.7,0,0,0,0,0,0,0,1,0,0,0,0,0
2008,47264912,172.4,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,42779802,168.7,71.08,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,48682050,179.9,71.53,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,57799817,175.5,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,63923325,158.7,71.65,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,68861335,184.0,70.21,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,66729956,180.7,70.73,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,74645573,191.8,71.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,92377369,175.8,71.66,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,99988108,225.7,71.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2018,106455119,195.7,71.13,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,134726520,167.4,70.63,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,145441133,177.3,70.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,163489697,174.6,70.45,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,163325608,160.3,71.14,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,168573916,155.7,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2003,76743733,254.9,70.09,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,77686595,260.7,70.14,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,84687755,247.3,70.99,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,83641115,210.9,71.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,84434757,175.2,71.7,0,0,0,0,0,0,0,1,0,0,0,0,0
2008,122467752,172.4,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,136569892,168.7,71.08,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,131987448,179.9,71.53,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,135069638,175.5,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,145455470,158.7,71.65,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,153187933,184.0,70.21,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,160383085,180.7,70.73,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,171735261,191.8,71.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,180621173,175.8,71.66,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,202558890,225.7,71.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2018,224517509,195.7,71.13,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,237087380,167.4,70.63,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,223998897,177.3,70.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,119174643,174.6,70.45,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,109157419,160.3,71.14,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,127327225,155.7,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2003,0,254.9,70.09,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,0,260.7,70.14,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,0,247.3,70.99,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,0,210.9,71.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,0,175.2,71.7,0,0,0,0,0,0,0,1,0,0,0,0,0
2008,0,172.4,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,0,168.7,71.08,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,0,179.9,71.53,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,0,175.5,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,0,158.7,71.65,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,0,184.0,70.21,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,0,180.7,70.73,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,0,191.8,71.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,0,175.8,71.66,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,0,225.7,71.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2018,0,195.7,71.13,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,0,167.4,70.63,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,85506812,177.3,70.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,119463337,174.6,70.45,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,30386416,160.3,71.14,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,0,155.7,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2003,515121664,254.9,70.09,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,538062645,260.7,70.14,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,512105866,247.3,70.99,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,572706715,210.9,71.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2007,620568652,175.2,71.7,0,0,0,0,0,0,0,1,0,0,0,0,0
2008,626868838,172.4,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2009,667749288,168.7,71.08,0,0,0,0,0,0,0,1,0,0,0,0,0
2010,691595774,179.9,71.53,0,0,0,0,0,0,0,1,0,0,0,0,0
2011,745644478,175.5,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,798123300,158.7,71.65,0,0,0,0,0,0,0,1,0,0,0,0,0
2013,851484985,184.0,70.21,0,0,0,0,0,0,0,1,0,0,0,0,0
2014,911516919,180.7,70.73,0,0,0,0,0,0,0,1,0,0,0,0,0
2015,966268483,191.8,71.0,0,0,0,0,0,0,0,1,0,0,0,0,0
2016,1004901304,175.8,71.66,0,0,0,0,0,0,0,1,0,0,0,0,0
2017,1107862542,225.7,71.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2018,1196824171,195.7,71.13,0,0,0,0,0,0,0,1,0,0,0,0,0
2019,1318926793,167.4,70.63,0,0,0,0,0,0,0,1,0,0,0,0,0
2020,1435099364,177.3,70.74,0,0,0,0,0,0,0,1,0,0,0,0,0
2021,1408324785,174.6,70.45,0,0,0,0,0,0,0,1,0,0,0,0,0
2022,1441635402,160.3,71.14,0,0,0,0,0,0,0,1,0,0,0,0,0
2023,1621192033,155.7,71.25,0,0,0,0,0,0,0,1,0,0,0,0,0
